geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name_left,name:ca_left,short_name,operator:type,wikidata_left,operator,wikimedia_commons,source_left,source:date,website,alt_name_left,official_name,opening_hours,phone,name:es_left,email,contact:email,contact:phone,contact:website,craft,ref_left,after_school,wheelchair,denomination,grades,religion,internet_access,isced:level,name:etymology:wikidata,operator:wikidata,wikipedia_left,building,building:levels,nohousenumber,alt_name:ca_left,alt_name:es,short_name:es,barrier,old_name_left,old_name:ca,old_name:es,contact:fax,name:de,polling_station,max_age,min_age,designation,description,check_date,fax,name:en,short_name:ca,note,start_date,addr:country,contact:facebook,pedagogy,school,addr:city:ca,addr:city:es,addr:street:ca,addr:street:es,ele,image,addr:housename,type_left,roof:levels,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref_right,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.4183662661540383 39.494554411539326),València,,46035,Camí Vell de Paterna,school,Col·legi d'Educació Infantil i Primària Camí de l'Horta,Col·legi d'Educació Infantil i Primària Camí de l'Horta,CEIP Camí de l'Horta,public,Q108135669,,,,,https://mestreacasa.gva.es/web/4600906100,,,,,Colegio de Educación Infantil y Primaria Camí de l'Horta,,,,,,,,,,,,,,,,,,,,,,,,Col·legi d'Educació Infantil i Primària Arquitecte Santiago Calatrava,Col·legi d'Educació Infantil i Primària Arquitecte Santiago Calatrava,Colegio de Educación Infantil y Primaria Arquitecto Santiago Calatrava,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
POINT (-0.4039790986056609 39.4836482724843),València,,46015,Carrer de l'Alqueria de Ricós,school,Centre d'Atenció Temprana i Educació Infantil L'Alqueria,,,private,,Universitat de València,,,,,,,,,,,,,,,,,,,0-6,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
POINT (-0.4074052495814801 39.478563468456265),València,3,46015,Avinguda de Pío Baroja,school,València Montessori School,,,,,,,,,https://valenciamontessori.org/,,,,+34963475201,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,montessori,,,,,,,,Valencia Montessori School,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
POINT (-0.3845555 39.4828711),,9,46009,Calle del Reverendo Rafael Ramón Llin,school,Colegio Diocesano San Juan Bosco,,,,,,,,,https://colegiodiocesanosanjuanbosco.com/,,,,+34 963495539,Colegio Diocesano San Juan Bosco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727658.0,10,administrative,,les Tendetes,les Tendetes,,boundary,Q9021877,ca:Les Tendetes,,,,
POINT (-0.3871170497190953 39.483507045252274),València,26,46009,Calle de Ricardo Micó,school,Col·legi Maria Inmaculada,,,private,,Religiosas Teatinas de la Inmaculada,,,,,,,,+34 963 40 61 43,Colegio María Inmaculada,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727658.0,10,administrative,,les Tendetes,les Tendetes,,boundary,Q9021877,ca:Les Tendetes,,,,
POINT (-0.3857689839333118 39.48263214938353),,,,,school,Centre d'Educació Infantil San Juan Bosco,,,religious,,Arquebisbat de València,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727658.0,10,administrative,,les Tendetes,les Tendetes,,boundary,Q9021877,ca:Les Tendetes,,,,
POINT (-0.3930410493345991 39.47888294201613),,1,,Calle del Padre Diego Mirón,school,Colegio de Fomento Vilavella,,,private,,Fomento de Centros de Enseñanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
POINT (-0.3986775690653894 39.48083492612729),,,,Plaza de Badajoz,school,Institut d'Educació Secundària Campanar,Institut d'Educació Secundària Campanar,IES Campanar,,Q37806177,,,,,,,,,,Instituto de Educación Secundaria Campanar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
POINT (-0.3953359730781663 39.48241768317062),,1,,Calle de Rascaña,school,Col·legi d'Educació Infantil i Primària Campanar,Col·legi d'Educació Infantil i Primària Campanar,CEIP Campanar,public,Q108135890,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceipcampanar/,,,,,,,,,,,,,,,,,,0-1,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
POINT (-0.3943365946048676 39.484616732014814),València,34,46015,Avinguda de Pius XII,school,Col·legi d'Educació Infantil i Primària Comunitat Valenciana,Col·legi d'Educació Infantil i Primària Comunitat Valenciana,CEIP Comunitat Valenciana,public,,Generalitat Valenciana,,,,https://portal.edu.gva.es/comunitatvalenciana/,,,,,,,,,,,46017729,,,,,none,,0;1,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
POINT (-0.3932982130117496 39.48493004284522),València,,46015,Carrer del Monestir de Poblet,school,Institut d'Educació Secundària Conselleria,Institut d'Educació Secundària Conselleria,IES Conselleria,public,Q107092273,Generalitat Valenciana,,,,https://portal.edu.gva.es/46022257/,,,,,,,,,,,46022257,,,,,none,,2;3;5,,Q2477285,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
POINT (-0.3635249684986922 39.48784801374916),,,,,school,Col·legi d'Educació Infantil i Primària Carles Salvador,Col·legi d'Educació Infantil i Primària Carles Salvador,CEIP Carles Salvador,,Q108136055,Generalitat Valenciana,,,,,,,,,Colegio de Educación Infantil y Primaria Carles Salvador,,,,,,,,,,,,,,Q2939072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3606957889922826 39.49430362089287),,9,46019,Avinguda dels Germans Machado,school,Institut d'Educació Secundària Rascanya-Antonio Cañuelo,Institut d'Educació Secundària Rascanya-Antonio Cañuelo,IES Rascanya-Antonio Cañuelo,,Q107092271,,,,,http://iesrascanya.es/,,,,,,,,,,,46025507,,,,,,,,Q112114929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3669560146001485 39.4942673637339),,,,,school,Col·legi d'Educació Infantil i Primària Miguel Hernández,Col·legi d'Educació Infantil i Primària Miguel Hernández,CEIP Miguel Hernández,public,Q108135690,Generalitat Valenciana,,,,,,,,,Colegio de Educación Infantil y Primaria Miguel Hernández,,,,,,,,,,,,,,Q332088,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3667007714640794 39.4897656126469),,,,Carrer de la Diputada Clara Campoamor,school,Escola Infantil Municipal Diputada Clara Campoamor,,,public,,Ajuntament de València,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.366597448727799 39.49618763924286),,,,Carrer de Santiago Rusiñol,school,Institut d'Educació Secundària Orriols,Institut d'Educació Secundària Orriols,IES Orriols,,,,,,,https://mestreacasa.gva.es/web/iesorriols,IES Orriols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3655202032567992 39.49540064377639),,,,,school,Colegio Marni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3680247549955171 39.492369062001174),València,32,46019,Carrer de Sant Vicent de Paül,school,Escola Infantil Marni II,,,private,,Marni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3777802263717581 39.49532476250631),València,1,46019,Carrer de l'Erudit Pagés,school,Col·legi d'Educació Infantil i Primària Torrefiel,Col·legi d'Educació Infantil i Primària Torrefiel,CEIP Torrefiel,,Q108135689,,,,,https://mestreacasa.gva.es/web/4601244600,,,,,Colegio de Educación Infantil y Primaria Torrefiel,,,+34 962566360,,,,,,,,,,,Q9089066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3784742386438897 39.49256894506989),València,44,46019,Calle Impresor Patricio Mey,school,Col·legi d'Educació Infantil i Primària Sanchis Guarner,Col·legi d'Educació Infantil i Primària Sanchis Guarner,CEIP Sanchis Guarner,public,,Generalitat Valenciana,,,,,,,,+34 963669198,,,,,,,46018114,,,,,,,0;1,,Q2477285,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3741024515261944 39.498168497462395),València,,46019,Plaça de Sant Jeroni,school,Col·legi d'Educació Infantil i Primària Antonio Machado,Col·legi d'Educació Infantil i Primària Antonio Machado,,public,Q108136058,Generalitat Valenciana,,,,https://portal.edu.gva.es/antoniomachado,,,,,,,,,,,,,,,,none,,0;1,Q243771,Q2477285,,,,yes,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3794496520379544 39.49666254935668),València,,,Carrer d'Alemany,school,Institut d'Educació Secundària José Ballester Gozalvo,Institut d'Educació Secundària José Ballester Gozalvo,IES José Ballester Gozalvo,public,,Generalitat Valenciana,,,,https://portal.edu.gva.es/iesjbg/,,,,+34 961 20 62 55,,,,,,,46019763,,,,,none,,2;3;5,Q29584071,Q2477285,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3698649785736287 39.49215343608085),València,29,46019,Carrer de Reig Genovés,school,Col·legi d'Educació Infantil i Primària Professor Bartolomé Cossio,Col·legi d'Educació Infantil i Primària Professor Bartolomé Cossio,CEIP Professor Bartolomé Cossio,,Q108135988,,,http://www.valencia.es/ayuntamiento/infociudad_accesible.nsf/vDocumentosWebListado/9495C6705C790E90C12572C20023DB56?OpenDocument&bdOrigen=,,,,,,+34 962566310,Colegio de Educación Infantil y Primaria Profesor Bartolomé Cossio,46016452@edu.gva.es,,,,,46016452,,,,,,,,Q5678776,,,,,,,,,,,,,,,,,,,,,+34 963689064,,,,,,,,,,,,,,,,,,relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3730084713045842 39.49266773659769),València,178,46019,Avinguda de la Constitució,school,Col·legi Maria Auxiliadora de València,,,religious,,Salesianas,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3795018289949643 39.48987544352239),,34,,Carrer de l'Economista Gay,school,Institut d'Educació Secundària El Clot,Institut d'Educació Secundària El Clot,IES El Clot,,Q107092272,,,,,,,,,,Instituto de Educación Secundaria El Clot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731119.0,10,administrative,,Tormos,Tormos,,boundary,Q9088545,ca:Tormos (barri de València),,,,
POINT (-0.3834436341775324 39.48884946895447),València,9,46009,Calle del Músico Jarque Cualladó,school,Comenius Centre Educatiu,,,private,,Juan Comenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731119.0,10,administrative,,Tormos,Tormos,,boundary,Q9088545,ca:Tormos (barri de València),,,,
POINT (-0.3799740977352393 39.489780516100694),,,,,school,Col·legi d'Educació Infantil i Primària Professor Luis Braille,Col·legi d'Educació Infantil i Primària,CEIP Professor Luis Braille,,Q108136061,,,,,,,,,,Colegio de Educación Infantil y Primaria Profesor Luis Braille,,,,,,,,,,,,,,Q93182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731119.0,10,administrative,,Tormos,Tormos,,boundary,Q9088545,ca:Tormos (barri de València),,,,
POINT (-0.3691825120024371 39.4835698775296),,13,,Carrer del Convent dels Carmelites,school,Institut d'Educació Secundària Benlliure,Institut d'Educació Secundària Benlliure,IES Benlliure,,Q107092275,,,,,http://iesbenlliure.edu.gva.es/index.php/es/,,,,,,,,,,,,,,,,,,,Q2402329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3681632698888094 39.485875588043605),,7,,Calle de Bellús,school,Col·legi d'Educació Infantil i Primària San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3682965614166334 39.485615364262664),,5,,Calle de Bellús,school,Col·legi d'Educació Infantil i Primària San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3719629552849135 39.48082434882222),,,,,school,Colegio Pío XII - Valencia,,,private,,,,,,http://www.colegiopioxii.com/,,,,,,,,,,,,,,,,,,,Q2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3678827603252807 39.4833853510251),València,,46010,Carrer de Jaca,school,Col·legi d'Educació Infantil i Primària Vivers,Col·legi d'Educació Infantil i Primària Vivers,CEIP Vivers,public,Q108135791,Generalitat Valenciana,,,,https://mestreacasa.gva.es/web/ceipvivers,Col·legi Públic Vivers,,,+34 962 566 790,,46013505@gva.es,,,,,46013505,,,,,,,,,Q2477285,,,,yes,Col·legi Públic Vivers,,,,Colegio Villar Palasí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3682858997751483 39.48572224114766),,,,,school,Col·legi d'Educació Infantil i Primària San Fernando,,,public,,Ajuntament de València,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3701279672360457 39.487703039030116),València,,46009,Carrer del Pare Urbà,school,Col·legi d'Educació Infantil i Primària Max Aub,Col·legi d'Educació Infantil i Primària Max Aub,CEIP Max Aub,public,Q108136108,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceipmaxaub/,,,,,,,,,,,46018126,,,,,none,,0;1,Q356546,Q2477285,,,,yes,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,relation,14731121.0,10,administrative,,Sant Antoni,Sant Antoni,,boundary,Q6120185,ca:Sant Antoni (barri de València),,,,
POINT (-0.3733930363673948 39.49074654217386),,2,,Avenida Primado Reig,school,Col·legi Sant Antoni Abad,,,private,,Salesianos,,,,,,,,,Colegio San Antonio Abad,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731121.0,10,administrative,,Sant Antoni,Sant Antoni,,boundary,Q6120185,ca:Sant Antoni (barri de València),,,,
POINT (-0.3729984699145334 39.48810070804217),,,,,school,Colegio Luz Casanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q23090708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731121.0,10,administrative,,Sant Antoni,Sant Antoni,,boundary,Q6120185,ca:Sant Antoni (barri de València),,,,
POINT (-0.3777754763695922 39.48427141827497),,,,,school,Centro Privado de Enseñanza Santísima Trinidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731122.0,10,administrative,,Morvedre,Morvedre,,boundary,Q6024517,ca:Morvedre (barri de València),,,,
POINT (-0.375140513111249 39.48576198033235),València,18,46009,Carrer de Ruaya,school,Col·legi Mercurio,,,private,,Cooperativa Nuevo Mercurio,,,,,,,,,,,,,,,,,,,7-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731122.0,10,administrative,,Morvedre,Morvedre,,boundary,Q6024517,ca:Morvedre (barri de València),,,,
POINT (-0.3808048066754061 39.48533520098783),,36,,Calle del Doctor Olóriz,school,Col·legi Diocesà Santiago Apòstol,,,private,,Fundació Col·legis Diocesans Sant vicent Màrtir,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.3862731426889306 39.48653295891924),,80,,Calle de Marchalenes,school,Colegio Hermanas Mantellate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.380498394981521 39.4846410757354),València,28,46009,Carrer del Doctor Olóriz,school,Col·legi d'Educació Infantil i Primària Doctor Olóriz,Col·legi d'Educació Infantil i Primària Doctor Olóriz,,,Q108135688,,,,,,,,,+34 962 56 52 40,Colegio de Educación Infantil y Primária Doctor Olóriz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.3544278255796697 39.476837077726785),,35,,Avinguda de Blasco Ibáñez,school,Colegio Nuestra Señora del Pilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q28517347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731655.0,10,administrative,,Ciutat Universitària,Ciutat Universitària,,boundary,Q8346555,ca:Ciutat Universitària (barri de València),,,,
POINT (-0.3637562 39.4803645),València,5,,Avinguda de Menéndez y Pelayo,school,"Hispania, escuela de español",,Hispania Aulario,,,Hispania educación y comunicación S.L.,,,,,Aulario de Hispania,"Hispania, escuela de español",Mo-Fr 08:45-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731656.0,10,administrative,,Jaume Roig,Jaume Roig,,boundary,Q9011128,ca:Jaume Roig (barri de València),,,,
POINT (-0.3626966174453492 39.48163816378411),,16,46010,Carrer de Jaume Roig,school,Deutsche Schule Valencia,Col·legi Alemany de València,,private,Q821632,,,,,,,,,,Colegio Alemán de Valencia,,,,,,,,,,,,,,Q821632,,ca:Col·legi Alemany de València,,,,,,,,,,,,Deutsche Schule Valencia,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731656.0,10,administrative,,Jaume Roig,Jaume Roig,,boundary,Q9011128,ca:Jaume Roig (barri de València),,,,
POINT (-0.3619805325305964 39.47246050175369),València,3,46010,Carrer de Galícia,school,Col·legi d'Educació Infantil i Primària Primer Marqués del Túria,Col·legi d'Educació Infantil i Primària Primer Marqués del Túria,CEIP Primer Marqués del Túria,public,,Generalitat Valenciana,,,,https://mestreacasa.gva.es/web/4601252500/primermarquesdelturia,,,,+34 962 56 63 00,Colegio de Educación Infantil y Primaria Primer Marqués del Turia,46012525@edu.gva.es,,,,,46012525,,,,,,,0;1,Q9088304,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3554306787797112 39.475135358056065),,56,,Avenida de Vicente Blasco Ibáñez,school,Colegio Guadalaviar,,,,Q5776909,,,,,,,,,,,,,,,,,,,,,,,,Q5776909,,es:Colegio Guadalaviar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3565625537106676 39.471556192124),,,,,school,Centre d'Educació Infantil i Primària Mestalla,,,public,Q108136216,Generalitat Valenciana,,,,,,,,,,,,,,,,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3575695012438294 39.468427398786034),,,,,school,Escola Municipal de Jardineria i Paisatge,,,public,,Ajuntament de València,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3609479 39.4762114),,26,46010,Carrer de les Arts Gràfiques,school,Colegio Aula 3,,,,,,,,,https://www.colegioaula3.es/,,,"Mo-Th 09:30-14:30, 16:30-18:00; Fr 09:30-14:00",+34 963 69 81 75,Colegio Aula 3,info@colegioaula3.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731658.0,10,administrative,,Exposició,Exposició,,boundary,Q10285105,ca:L'Exposició (barri de València),,,,
POINT (-0.3652094969681732 39.47666716088771),,,,,school,Colegio Sagrado Corazón Esclavas de Jesús,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731658.0,10,administrative,,Exposició,Exposició,,boundary,Q10285105,ca:L'Exposició (barri de València),,,,
POINT (-0.3637139991810348 39.4762786430745),València,5,46010,Calle de Micer Mascó,school,Colegio San José de Calasanz,Col·legi Sant Josep de Calasanç,,,Q47493318,,,,,https://www.calasanz-valencia.com/,,,,+34 963 69 07 00,,colegio.calasanzval@escolapiosbetania.es,,,,,,,,roman_catholic,,christian,,,Q360589,,,,,,,,,,,,,,,,,,,,,+34 963 69 16 08,,,,1957-10-04,,,,,,,,,,,,,,relation,14731658.0,10,administrative,,Exposició,Exposició,,boundary,Q10285105,ca:L'Exposició (barri de València),,,,
POINT (-0.3962151548729288 39.453496103010295),València,23,,Carrer de Juan de Garay,school,Col·legi d'Educació Infantil i Primària IVAF - Luis Fortich,Col·legi d'Educació Infantil i Primària IVAF - Luis Fortich,CEIP IVAF - Luis Fortich,public,Q108135678,Diputació Provincial de València,,,,http://colegioluisfortich.dival.es/,,,,+34 963 88 30 23,Colegio de Educación Infantil y Primaria IVAF - Luis Fortich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731861.0,10,administrative,,Favara,Favara,,boundary,Q8960964,ca:Favara (barri de València),,,,
POINT (-0.3959605099578947 39.454421548520884),,,,,school,Institut d'Educació Secundària Juan de Garay,Institut d'Educació Secundària Juan de Garay,IES Juan de Garay,public,Q107165452,Generalitat Valenciana,,,,https://portal.edu.gva.es/iesjuandegaray/,,,,,Instituto de Educación Secundaria Juan de Garay,,,,,,,,,,,,,,Q441411,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731861.0,10,administrative,,Favara,Favara,,boundary,Q8960964,ca:Favara (barri de València),,,,
POINT (-0.3943268481498726 39.4513545965403),,,,,school,Col·legi d'Educació Infantil i Primària Santo Ángel de la Guarda,Col·legi d'Educació Infantil i Primària Santo Ángel de la Guarda,CEIP Santo Ángel de la Guarda,public,Q108135683,,,,,,,,,+34 961 20 55 25,Colegio de Educación Infantil y Primaria Santo Ángel de la Guarda,,,,,,46012252,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731861.0,10,administrative,,Favara,Favara,,boundary,Q8960964,ca:Favara (barri de València),,,,
POINT (-0.3986099764535915 39.45724551776678),València,1,46014,Calle del Músico Gomis,school,Col·legi d'Educació Infantil i Primària Eliseo Vidal,Col·legi d'Educació Infantil i Primària Eliseo Vidal,CEIP Eliseo Vidal,public,Q108136088,Generalitat Valenciana,,,,,,,,,Colegio de Educación Infantil y Primaria Eliseo Vidal,,,,,,,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731862.0,10,administrative,,Safranar,Safranar,,boundary,Q611575,ca:Safranar,,,,
POINT (-0.394471378934242 39.459194778025505),,,,,school,Col·legi d'Educació Infantil i Primària Humanista Mariner,Col·legi d'Educació Infantil i Primària Humanista Mariner,CEIP Humanista Mariner,,Q108136466,,,,,,,,,,,,,,,,,,,,,,,,Q11705051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731862.0,10,administrative,,Safranar,Safranar,,boundary,Q611575,ca:Safranar,,,,
